sector,site_description_local,latitude,longitude,import,road
cameras_report_nwregion_foi,37746 M6 374/6A J32 33 LANCASTER SERVICES,53.9625,357.239,Y,M6 
cameras_report_nwregion_foi,37756 M6 375/6A J32 33 APPROACH J33A,53.9703,357.231,Y,M6 
cameras_report_nwregion_foi,37772 M6 377/2A J33 JUNCTION 33,53.9822,357.219,Y,M6 
cameras_report_nwregion_foi,37791 M6 379/1B J34 33 LANGSHAW LANE,53.9994,357.22,Y,M6 
cameras_report_nwregion_foi,37800 M6 380/0B J34 33 HAZELRIGG LANE,54.0078,357.219,Y,M6 
cameras_report_nwregion_foi,38041 M6 404/1A J35 J36 LANCASTER CANAL SOUTH,54.2166,357.278,Y,M6 
cameras_report_nwregion_foi,38048 M6 404/8A M6 J35 J36 LANCASTER CANAL NORTH,54.2237,357.279,Y,M6 
cameras_report_nwregion_foi,38064 M6 406/4A J36 KENDAL,54.2367,357.283,Y,M6 
cameras_report_nwregion_foi,38086 M56 8/6A J1 J2 LONGLEY LN,53.3956,357.747,Y,M56 
cameras_report_nwregion_foi,38090 M56 9/0B J2 SHARSTON,53.3965,357.744,Y,M56 
cameras_report_nwregion_foi,38113 M56 11/3A J4 TUFFLEY ROAD,53.3839,357.724,Y,M56 
cameras_report_nwregion_foi,38129 M56 12/9B J5 AIRPORT SPUR,53.3735,357.71,Y,M56 
cameras_report_nwregion_foi,38140 M56 14/0A J6 HALE,53.3621,357.704,Y,M56 
cameras_report_nwregion_foi,38185 M56 18/5A J6 J7 WB J6 TO J7,53.3576,357.637,Y,M56 
cameras_report_nwregion_foi,M56 19/2J J7,53.3583,357.632,Y,M56 
cameras_report_nwregion_foi,38197 M56 19/7A J7 BOWDEN,53.3601,357.624,Y,M56 
cameras_report_nwregion_foi,38207 M56 20/7A J8 BOWDEN,53.363,357.609,Y,M56 
cameras_report_nwregion_foi,38262 M56 26/2B J9 EB LYMM,53.3607,357.527,Y,M56 
cameras_report_nwregion_foi,38286 M56 28/6B J9 EB LYMM INTER,53.352,357.495,Y,M56 
cameras_report_nwregion_foi,03901 M60 1/0A J1 J2 GORSEY BANK,53.406,357.81,Y,M60 
cameras_report_nwregion_foi,39022 M60 2/2K J2 CH   HTH LINK,53.3988,357.796,Y,M60 
